qtr,project_name,postal_district,25th_percentile,median,75th_percentile,rental_contracts
2020-Q4,HILLCREST ARCADIA,11,2.38,2.45,2.79,19
2020-Q4,HILLION RESIDENCES,23,3.69,4.01,4.21,54
2020-Q4,HILLSTA,23,2.65,3.02,3.24,38
2020-Q4,HILLTOPS,9,5.49,5.79,5.95,12
2020-Q4,HILLVIEW GREEN,21,1.88,2.16,2.23,25
2020-Q4,HILLVIEW HEIGHTS,23,2.27,2.3,2.41,24
2020-Q4,HILLVIEW REGENCY,23,2.29,2.43,2.65,19
2020-Q4,HILLVISTA,23,2.51,2.61,2.69,10
2020-Q4,HOLLAND GEMS,10,2.56,2.62,2.67,17
2020-Q4,HOLLAND RESIDENCES,10,3.96,4.28,4.65,13
2020-Q4,HORIZON RESIDENCES,5,3.51,3.66,3.92,11
2020-Q4,HORIZON TOWERS,9,2.09,2.32,2.44,17
2020-Q4,HUME PARK I,21,1.77,1.86,2.32,13
2020-Q4,HUME PARK II,21,1.92,2.06,2.18,15
2020-Q4,HUNDRED TREES,5,2.98,3.1,3.55,26
2020-Q4,ICON,2,4.32,4.71,4.97,90
2020-Q4,ILLUMINAIRE ON DEVONSHIRE,9,5.01,5.15,5.31,12
2020-Q4,INTERNATIONAL PLAZA,2,2.68,2.9,3.1,20
2020-Q4,J GATEWAY,22,4.17,4.57,5.05,91
2020-Q4,JADE RESIDENCES,19,3.31,3.5,3.61,10
2020-Q4,JARDIN,21,3.05,3.1,3.16,11
2020-Q4,JEWEL @ BUANGKOK,19,2.93,3.08,3.53,38
2020-Q4,JOOL SUITES,8,4.34,4.58,4.74,14
2020-Q4,KALLANG RIVERSIDE,12,4.28,4.7,4.87,15
2020-Q4,KAP RESIDENCES,21,3.71,3.9,4.05,27
2020-Q4,KASTURINA LODGE,10,3.3,3.35,3.51,11
2020-Q4,KATONG REGENCY,15,3.86,4.38,4.54,30
2020-Q4,KENSINGTON SQUARE,19,2.93,3.38,3.92,18
2020-Q4,KERRISDALE,8,2.87,2.94,3.06,18
2020-Q4,KIM SIA COURT,9,2.36,2.44,2.81,20
